D17001	Laboratorijska izrada studijskog modela oba zubna luka i arhiviranje modela	
D17002	Laboratorijska izrada podbradne kape, izrada kosine	
D17003	Laboratorijska izrada mobilnog ortodontskog aparata, izrađenog bez konstrukcijskog zagriza do uključeno 4 elementa pored baze	
D17004	Laboratorijska izrada mobilnog ortodontskog aparata, izrađenog na podlozi konstrukcijskog zagriza sa najviše četiri elementa pored baze	
D17005	Laboratorijska izrada mobilnog ortodontskog aparata bez konstr. zagriza sa pet ili više elemenata pored baze izrađenog na podlozi konstr. zagriza	
D17006	Laboratorijska izrada mobilnog ortodontskog aparata sa pet ili više elemenata pored baze izrađenog na podlozi konstr. zagriza	
J11001	Panoramska dentalna radiografija	1678
J11002	Obični intraoralni snimak zuba	1652
J11003	Ortopantomografski snimak	4042
J11004	Telerentgenski snimak glave	4975
A01001	Preventivni pregled djece u 1. godini života	4861
A01002	Preventivni pregled djece u 2. godini života	7014
A01003	Preventivni pregled djece u 4. godini života	7015
A01004	Preventivni pregled pred polazak u osnovnu školu	7016
A01005	Preventivni (sistematski) pregled u osnovnoj školi (2, 4, 6 i poslednji razred osnovne škole)	7017
A01006	Preventivni (sistematski) pregled učenika u prvom i trećem razredu srednje škole	7018
A01007	Preventivni (sistematski) pregled studenata na prvoj i trećoj godini studija	7019
A01008	Preventivni (sistematski) pregled lica starijih od 65 godina	7020
A01009	Kontrolni pregled nakon preventivnog pregleda	7021
A01010	Preventivni pregled djece do 15 godina u slučaju epidemije neke od zaraznih bolesti	7022
A01011	Vakcinacija i revakcinacija djece i omladine po kalend. vakcinac.	7023
A01012	Vakcinacija starijih od 65 godina protiv gripe	7024
A01013	Imunoprofilaksa, imunoprofilaksa sa serumom i hemoprofilaksa za sprječavanje zaraznih bolesti u skladu sa zakonom	7025
A01014	Preventivni pregled muškaraca nakon 40 godine života i žena nakon 45.godine života zbog otkrivanja povišenog krvnog pritiska, holesterola i triglicerida i riziko faktora za pojavu bolesti srca i krvnih sudova i to svakih 5 godina jedanput	7026
A01015	Pregled za rano otkrivanje raka dojke kod žena i to jedanput na 3 godine. Kod žena u rizičnoj grupi (sa rakom dojke kod majke, sestre, kćerke) pregledi se obavljaju svake godine	7027
A02001	Prvi kurativni pregled	7028
A02002	Ponovni kurativni pregled (kontrolni)	7029
A02003	Pregled pacijenata koji se ambulantno spremaju za operacije u opštoj anesteziji	7030
A02004	Kratka posjeta doktoru (posjeta bez pregleda doktora)	7031
A02005	Prvi kurativni pregled u kući osiguranika na udaljenosti do 5 km od ambulante izabranog doktora	7032
A02006	Prvi kurativni pregled u kući osiguranika na udaljenosti od 5-15 km od ambulante ID, ili teško dostupnim krajevima	7033
A02007	Prvi kurativni pregled u kući osiguranika na udaljenosti više od 15 km od ambulante ID, ili teško dostupnim krajevima	7034
A02008	Ponovni kurativni pregled (kontrolni) u kući osiguranika na udaljenosti do 5 km od ambulante izabranog doktora	7035
A02009	Ponovni kurativni pregled (kontrolni) u kući osiguranika na udaljenosti od 5-15 km od ambulante izabranog doktora, ili teško dostupnim krajevima	7036
A02010	Ponovni kurativni pregled (kontrolni) u kući osiguranika na udaljenosti više od 15 km od ambulante izabranog doktora, ili teško dostupnim krajevima	7037
A02011	Posjeta doktora radi obrade za IPK	7038
J07004	UZ kukova kod odojčadi	3738
X01001	Odstranjivanje stranog tijela iz uha	7041
X01002	Odstranjivanje stranog tijela iz grla	7042
X01003	Odstranjivanje stranog tijela iz kože	
X01004	Davanje lokalne anestezije	5290
X01005	Ispiranje cerumena iz uha	1513
X01006	Davanje kiseonika	5291
X01007	Uzimanje briseva sa slanjem na analizu	5292
X01010	Davanje inhalacije	1985
X01011	Punkcija potkožnih hematoma	5294
X01012	Toaleta gastrostome	5295
X01013	Toaleta vještačkog anusa	5296
X01014	Zbrinjavanje rane bez šivanja	5297
X01015	Skidanje hirurških konaca	2054
X01018	Fiksacioni zavoj	7053
