page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
4	D	OPERACIJE SA ANESTEZIJOM	D02071	D02	OPERACIJE - HIRURGIJA	LAPAROSKOPSKA OPERACIJA INGVINALNE HERNIJE JEDNOSTRANO	291.90
4	D	OPERACIJE SA ANESTEZIJOM	D02072	D02	OPERACIJE - HIRURGIJA	HERNIOPLASTICA INGVINALNA SA EKSCIZIJOM HIDROCELE	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02073	D02	OPERACIJE - HIRURGIJA	EVAKUACIJA RETROPERITONEALNIH ABSCESA	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02074	D02	OPERACIJE - HIRURGIJA	ZATVARANJE KOLOSTOME USPOSTAVLJANJEM KONTINUITETA DEB CRIJEV	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02075	D02	OPERACIJE - HIRURGIJA	RADIKALNA DISEKCIJA LIMFNIH ČVOROVA PREPONSKIH POVRŠNIH - UN	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02076	D02	OPERACIJE - HIRURGIJA	HIRURŠKO ZBRINJAVANJE UNUTRAŠNJIH HEMOROIDA	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02077	D02	OPERACIJE - HIRURGIJA	EKSCIZIJA MALIGNIH I BENIGNIH LEZIJA KOŽE I POTKOŽE SA ZATV	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02078	D02	OPERACIJE - HIRURGIJA	EKSCIZIJA MALIGNIH I BENIGNIH LEZIJA KOŽE I POTKOŽE SA ZATV	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02080	D02	OPERACIJE - HIRURGIJA	LIJEČENJE UNUTRAŠNJIH HEMOROIDA GUMENIM LIGATURAMA	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02081	D02	OPERACIJE - HIRURGIJA	LAPAROSKOPSKA REPARACIJA FEMORALNE HERNIJE JEDNOSTRANO	333.60
4	D	OPERACIJE SA ANESTEZIJOM	D02082	D02	OPERACIJE - HIRURGIJA	LAPAROSKOPSKA OPERACIJA INCIZIONE-VENTRALNE HERNIJE	333.60
